"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","74","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","","","","","","","","","","","","",""
"","","","","","instructions","1","2969","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","[{""page_index"":0,""viewing_time"":2895}]","2895","","","","","","","","","","","",""
"","","","","","instructions","2","18387","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","[{""page_index"":0,""viewing_time"":15417}]","15417","","","","","","","","","","","",""
"","","","","","audio-button-response","3","51922","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","33480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","60691","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","8781","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","77118","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","[{""page_index"":0,""viewing_time"":16427}]","16427","","","","","","","","","","","",""
"","","","","","audio-button-response","6","82665","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","5131","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","87600","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","4528","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","92426","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","4461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","97169","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq066_len120_s15_isi-1p0_0p0_16p0.json","10.84","true","1dqenpvpfbn","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
