"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","14","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","","","","","","","","","","","","",""
"","","","","","instructions","1","4283","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","[{""page_index"":0,""viewing_time"":4268}]","4268","","","","","","","","","","","",""
"","","","","","instructions","2","5538","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","[{""page_index"":0,""viewing_time"":1255}]","1255","","","","","","","","","","","",""
"","","","","","audio-button-response","3","16579","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","10992","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","31386","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","14808","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","41594","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","10211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","44914","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","3320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","160914","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","116011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","163826","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","2891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","9","169586","0.0-3.6-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq265_len120_s0_isi-1p0_0p0_16p0.json","11.19","true","4fzanpjobzz","","5760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
