"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","195","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","","","","","","","","","","","","",""
"","","","","","instructions","1","2218","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","[{""page_index"":0,""viewing_time"":2020}]","2022","","","","","","","","","","","",""
"","","","","","instructions","2","5662","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","[{""page_index"":0,""viewing_time"":3441}]","3442","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19093","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","13211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26592","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","7491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","27681","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","1088","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","121610","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","[{""page_index"":0,""viewing_time"":93925}]","93926","","","","","","","","","","","",""
"","","","","","audio-button-response","7","128022","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","4701","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","134314","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","4768","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","140163","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq216_len120_s0_isi-1p0_0p0_16p0.json","10.870000000000001","true","4xmhs63nfl4","","4659","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
