"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","115","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","","","","","","","","","","","","",""
"","","","","","instructions","1","16380","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","[{""page_index"":0,""viewing_time"":16263}]","16264","","","","","","","","","","","",""
"","","","","","instructions","2","19890","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","[{""page_index"":0,""viewing_time"":3508}]","3508","","","","","","","","","","","",""
"","","","","","audio-button-response","3","29722","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","9411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","31133","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","1411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","49568","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","[{""page_index"":0,""viewing_time"":18434}]","18434","","","","","","","","","","","",""
"","","","","","audio-button-response","6","55772","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","5469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","61052","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","65820","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4261","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","70575","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4251","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","75338","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4261","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","79929","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4091","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","12","84186","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4256","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","235177","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","[{""page_index"":0,""viewing_time"":52103},{""page_index"":1,""viewing_time"":13315},{""page_index"":2,""viewing_time"":80571},{""page_index"":3,""viewing_time"":5002}]","150991","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","235230","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","241171","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","4661","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","241227","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","245100","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","7jogrkbp84y","","3109","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","2","demo","","","0","","","","","",""
