"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","190","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","","","","","","","","","","","","",""
"","","","","","instructions","1","2183","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","[{""page_index"":0,""viewing_time"":1992}]","1992","","","","","","","","","","","",""
"","","","","","instructions","2","3375","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","[{""page_index"":0,""viewing_time"":1191}]","1191","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19719","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","15673","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26798","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","7076","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","31926","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","5132","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","33114","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","1184","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","36650","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","[{""page_index"":0,""viewing_time"":3535}]","3535","","","","","","","","","","","",""
"","","","","","audio-button-response","8","42424","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","4772","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","47787","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq087_len120_s0_isi-1p0_0p0_16p0.json","11.33","true","baekyqloe8n","","4377","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
