"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","","","","","","","","","","","","",""
"","","","","","instructions","1","2975","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","[{""page_index"":0,""viewing_time"":2845}]","2846","","","","","","","","","","","",""
"","","","","","instructions","2","12262","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","[{""page_index"":0,""viewing_time"":9285}]","9286","","","","","","","","","","","",""
"","","","","","audio-button-response","3","35419","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","22480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","45903","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","10480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","49915","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4000","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","61857","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","[{""page_index"":0,""viewing_time"":11941}]","11941","","","","","","","","","","","",""
"","","","","","audio-button-response","7","66648","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4352","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","71334","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4381","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","77183","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","82118","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","86797","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","92467","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","13","95063","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","","2594","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","151687","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq029_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","d98s66lgw1p","[{""page_index"":0,""viewing_time"":4547},{""page_index"":1,""viewing_time"":12546},{""page_index"":2,""viewing_time"":34349},{""page_index"":3,""viewing_time"":5179}]","56620","","","","","","","","","","","",""
