"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","232","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","","","","","","","","","","","","",""
"","","","","","instructions","1","5491","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","[{""page_index"":0,""viewing_time"":5257}]","5257","","","","","","","","","","","",""
"","","","","","instructions","2","15801","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","[{""page_index"":0,""viewing_time"":10309}]","10309","","","","","","","","","","","",""
"","","","","","audio-button-response","3","21445","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","5621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","29206","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","7760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","31573","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","[{""page_index"":0,""viewing_time"":2365}]","2366","","","","","","","","","","","",""
"","","","","","audio-button-response","6","37516","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","4789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","42930","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","4261","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","48105","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","4299","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","53067","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","dmpvasordex","","4189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
