"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","71","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","","","","","","","","","","","","",""
"","","","","","instructions","1","2673","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","[{""page_index"":0,""viewing_time"":2601}]","2602","","","","","","","","","","","",""
"","","","","","instructions","2","11697","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","[{""page_index"":0,""viewing_time"":9023}]","9023","","","","","","","","","","","",""
"","","","","","audio-button-response","3","22576","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","10832","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","27952","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","5368","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","35663","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","[{""page_index"":0,""viewing_time"":7711}]","7711","","","","","","","","","","","",""
"","","","","","audio-button-response","6","41602","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","5549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","46680","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4699","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","51391","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","56447","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","61391","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","66288","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","12","84847","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","18557","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","129200","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","[{""page_index"":0,""viewing_time"":4822},{""page_index"":1,""viewing_time"":10729},{""page_index"":2,""viewing_time"":23238},{""page_index"":3,""viewing_time"":5562}]","44352","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","129251","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","133807","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4099","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","133864","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","138950","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","4760","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","139001","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","144174","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","5181","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","20","144232","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq033_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","fb6k9ozgjrt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
