"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","100","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","","","","","","","","","","","","",""
"","","","","","instructions","1","2776","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","[{""page_index"":0,""viewing_time"":2675}]","2675","","","","","","","","","","","",""
"","","","","","instructions","2","10876","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","[{""page_index"":0,""viewing_time"":8100}]","8100","","","","","","","","","","","",""
"","","","","","audio-button-response","3","57058","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","46141","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","62660","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","[{""page_index"":0,""viewing_time"":5601}]","5601","","","","","","","","","","","",""
"","","","","","audio-button-response","5","68200","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","72989","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","77844","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","82514","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","87188","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","91842","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","11","95312","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","3470","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","134112","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","[{""page_index"":0,""viewing_time"":6392},{""page_index"":1,""viewing_time"":10699},{""page_index"":2,""viewing_time"":18361},{""page_index"":3,""viewing_time"":3348}]","38800","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","134164","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","143677","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","8560","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","143732","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","148072","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq057_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","gp06nr5fdvt","","3819","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
