"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","164","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","","","","","","","","","","","","",""
"","","","","","instructions","1","5305","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","[{""page_index"":0,""viewing_time"":5139}]","5140","","","","","","","","","","","",""
"","","","","","instructions","2","13319","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","[{""page_index"":0,""viewing_time"":8014}]","8014","","","","","","","","","","","",""
"","","","","","audio-button-response","3","40154","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","26744","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","43621","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","3466","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","47887","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","4267","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","51604","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","3715","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","57336","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","5730","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","78188","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","[{""page_index"":0,""viewing_time"":20851}]","20851","","","","","","","","","","","",""
"","","","","","audio-button-response","9","88053","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","9172","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","1","hc","3","0","","","","","","",""
"","","","","","audio-button-response","10","96036","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","7291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","102120","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","5387","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","108087","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","5283","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","13","113819","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","5010","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","14","119304","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","4754","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","15","121761","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","2457","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","16","217220","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","[{""page_index"":0,""viewing_time"":9575},{""page_index"":1,""viewing_time"":18815},{""page_index"":2,""viewing_time"":55302},{""page_index"":3,""viewing_time"":11766}]","95458","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","217273","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","222554","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","4034","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","19","222606","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","227236","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq038_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","hght3z7y93s","","4034","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
