"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","136","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","","","","","","","","","","","","",""
"","","","","","instructions","1","2461","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","[{""page_index"":0,""viewing_time"":2324}]","2324","","","","","","","","","","","",""
"","","","","","instructions","2","38724","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","[{""page_index"":0,""viewing_time"":36263}]","36263","","","","","","","","","","","",""
"","","","","","audio-button-response","3","144186","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","105440","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","155512","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","[{""page_index"":0,""viewing_time"":11325}]","11325","","","","","","","","","","","",""
"","","","","","audio-button-response","5","161454","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","4989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","167454","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","5149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","173184","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","4749","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","179182","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","5011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","184982","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq343_len120_s0_isi-1p0_0p0_16p0.json","11.25","true","hm0s3cem5sf","","4771","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
