"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","1695","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","","","","","","","","","","","","",""
"","","","","","instructions","1","7195","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","[{""page_index"":0,""viewing_time"":5497}]","5499","","","","","","","","","","","",""
"","","","","","instructions","2","13711","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","[{""page_index"":0,""viewing_time"":6513}]","6514","","","","","","","","","","","",""
"","","","","","audio-button-response","3","23872","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","9112","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","31801","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","[{""page_index"":0,""viewing_time"":7924}]","7925","","","","","","","","","","","",""
"","","","","","audio-button-response","5","37191","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","4571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","42583","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","4531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","47967","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","53050","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","4259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","57984","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq056_len120_s15_isi-1p0_0p0_16p0.json","11.19","true","m3h147roq6e","","4389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
