"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","116","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","","","","","","","","","","","","",""
"","","","","","instructions","1","350213","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","[{""page_index"":0,""viewing_time"":350096}]","350096","","","","","","","","","","","",""
"","","","","","instructions","2","353598","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","[{""page_index"":0,""viewing_time"":3385}]","3385","","","","","","","","","","","",""
"","","","","","audio-button-response","3","359476","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","5861","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","528761","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","[{""page_index"":0,""viewing_time"":169284}]","169284","","","","","","","","","","","",""
"","","","","","audio-button-response","5","534351","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","4899","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","6","539497","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","4520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","544722","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","4779","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","549715","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","4328","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","555360","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","5171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","560136","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","4141","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","561316","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","1179","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","582111","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","[{""page_index"":0,""viewing_time"":2435},{""page_index"":1,""viewing_time"":1301},{""page_index"":2,""viewing_time"":13456},{""page_index"":3,""viewing_time"":3603}]","20795","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","582174","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","585969","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","3051","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","586026","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","589488","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq064_len120_s15_isi-1p0_0p0_16p0.json","10.780000000000001","true","ospmoysz4bs","","2901","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
