"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","678","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","","","","","","","","","","","","",""
"","","","","","instructions","1","30741","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","[{""page_index"":0,""viewing_time"":30061}]","30061","","","","","","","","","","","",""
"","","","","","instructions","2","48496","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","[{""page_index"":0,""viewing_time"":17758}]","17758","","","","","","","","","","","",""
"","","","","","audio-button-response","3","56718","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","8123","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","59269","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","2549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","61668","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","2400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","72908","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","11237","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","87408","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","[{""page_index"":0,""viewing_time"":14500}]","14500","","","","","","","","","","","",""
"","","","","","audio-button-response","8","94936","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","5072","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","102553","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","4976","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","110213","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","5184","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","117443","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","11.1","true","prp17n1tkt9","","4619","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
