"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","318","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","","","","","","","","","","","","",""
"","","","","","instructions","1","7877","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","[{""page_index"":0,""viewing_time"":7553}]","7553","","","","","","","","","","","",""
"","","","","","instructions","2","22468","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","[{""page_index"":0,""viewing_time"":14590}]","14590","","","","","","","","","","","",""
"","","","","","audio-button-response","3","39356","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","16591","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","43859","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","4502","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","49472","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","5611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","57930","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","8461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","70193","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","[{""page_index"":0,""viewing_time"":12261}]","12262","","","","","","","","","","","",""
"","","","","","audio-button-response","8","76105","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","4931","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","81768","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq036_len120_s15_isi-1p0_0p0_16p0.json","10.72","true","ucl3fo5l4nk","","4891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
