"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","272","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","","","","","","","","","","","","",""
"","","","","","instructions","1","5620","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","[{""page_index"":0,""viewing_time"":5347}]","5348","","","","","","","","","","","",""
"","","","","","instructions","2","10977","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","[{""page_index"":0,""viewing_time"":5355}]","5356","","","","","","","","","","","",""
"","","","","","audio-button-response","3","23712","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","12320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","25321","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","1611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","34057","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","[{""page_index"":0,""viewing_time"":8736}]","8736","","","","","","","","","","","",""
"","","","","","audio-button-response","6","39587","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4472","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","44915","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","50039","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","55590","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","60850","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4259","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","65932","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","68061","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","","2128","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","103380","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","10.9","true","x76pv0c77tz","[{""page_index"":0,""viewing_time"":4698},{""page_index"":1,""viewing_time"":11363},{""page_index"":2,""viewing_time"":15103},{""page_index"":3,""viewing_time"":4154}]","35318","","","","","","","","","","","",""
