"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","124","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","","","","","","","","","","","","",""
"","","","","","instructions","1","2294","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","[{""page_index"":0,""viewing_time"":2169}]","2169","","","","","","","","","","","",""
"","","","","","instructions","2","4643","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","[{""page_index"":0,""viewing_time"":2349}]","2349","","","","","","","","","","","",""
"","","","","","audio-button-response","3","24709","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","20050","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26761","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","2052","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","33598","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","[{""page_index"":0,""viewing_time"":6836}]","6837","","","","","","","","","","","",""
"","","","","","audio-button-response","6","38849","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","1","hc","1","0","","","","","","",""
"","","","","","audio-button-response","7","43680","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4249","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","48625","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","53219","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","58298","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4499","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","63312","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","4168","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","12","65489","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","2176","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","105921","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","[{""page_index"":0,""viewing_time"":4427},{""page_index"":1,""viewing_time"":14610},{""page_index"":2,""viewing_time"":17305},{""page_index"":3,""viewing_time"":4089}]","40431","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","105972","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","109726","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","2183","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","109777","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","116121","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq032_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","xlgk883bzvk","","5680","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
