"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","37","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","","","","","","","","","","","","",""
"","","","","","instructions","1","1154275","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","[{""page_index"":0,""viewing_time"":1154235}]","1154235","","","","","","","","","","","",""
"","","","","","instructions","2","1164144","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","[{""page_index"":0,""viewing_time"":9869}]","9869","","","","","","","","","","","",""
"","","","","","audio-button-response","3","1185978","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","21821","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","1191277","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","5291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","1192601","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","1328","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","1196095","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","3491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","1201568","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","5480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","1212371","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","[{""page_index"":0,""viewing_time"":10803}]","10803","","","","","","","","","","","",""
"","","","","","audio-button-response","9","1217485","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_atexts_2025/sequences/isi_16/len120/seq002_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","yt5at846fch","","4939","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
