"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","115","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","","","","","","","","","","","","",""
"","","","","","instructions","1","7053","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","[{""page_index"":0,""viewing_time"":6937}]","6937","","","","","","","","","","","",""
"","","","","","instructions","2","15709","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","[{""page_index"":0,""viewing_time"":8654}]","8655","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27245","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","11251","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","29837","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","2589","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","34421","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","4581","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","50021","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","[{""page_index"":0,""viewing_time"":15599}]","15599","","","","","","","","","","","",""
"","","","","","audio-button-response","7","56037","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","3899","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","60932","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","3659","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","65836","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq037_len120_s10_isi-1p0_0p0_16p0.json","10.72","true","0gd2b1l2ns2","","3869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
