"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","28","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","","","","","","","","","","","","",""
"","","","","","instructions","1","38728","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","[{""page_index"":0,""viewing_time"":38698}]","38698","","","","","","","","","","","",""
"","","","","","instructions","2","57227","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","[{""page_index"":0,""viewing_time"":18498}]","18498","","","","","","","","","","","",""
"","","","","","audio-button-response","3","75569","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","18272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","78960","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","3381","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","88705","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","[{""page_index"":0,""viewing_time"":9743}]","9744","","","","","","","","","","","",""
"","","","","","audio-button-response","6","95954","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","6429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","102385","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","5709","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","108089","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","4941","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","113939","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq074_len120_s10_isi-1p0_0p0_16p0.json","10.43","true","4zwf8sprdzh","","5109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
