"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","155","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","","","","","","","","","","","","",""
"","","","","","instructions","1","12434","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","[{""page_index"":0,""viewing_time"":12278}]","12279","","","","","","","","","","","",""
"","","","","","instructions","2","27574","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","[{""page_index"":0,""viewing_time"":15139}]","15139","","","","","","","","","","","",""
"","","","","","audio-button-response","3","37988","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","10312","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","45676","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","7680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","55386","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","9712","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","61784","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","6400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","64562","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","2779","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","75844","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","[{""page_index"":0,""viewing_time"":11281}]","11281","","","","","","","","","","","",""
"","","","","","audio-button-response","9","81419","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq055_len120_s10_isi-1p0_0p0_16p0.json","10.6","true","765x4b7uveg","","4832","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
