"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","66","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","","","","","","","","","","","","",""
"","","","","","instructions","1","22221","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","[{""page_index"":0,""viewing_time"":22155}]","22156","","","","","","","","","","","",""
"","","","","","instructions","2","26083","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","[{""page_index"":0,""viewing_time"":3862}]","3862","","","","","","","","","","","",""
"","","","","","audio-button-response","3","38721","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","11672","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","41870","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","3141","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","48049","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","[{""page_index"":0,""viewing_time"":6178}]","6178","","","","","","","","","","","",""
"","","","","","audio-button-response","6","52824","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","57577","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","62812","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4509","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","67661","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","72318","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","77512","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","78691","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","1178","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","101272","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","[{""page_index"":0,""viewing_time"":2729},{""page_index"":1,""viewing_time"":6399},{""page_index"":2,""viewing_time"":10123},{""page_index"":3,""viewing_time"":3330}]","22580","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","101333","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","105452","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq072_len120_s10_isi-1p0_0p0_16p0.json","11.129999999999999","true","efkvm122kj1","","3011","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
