"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","67","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","","","","","","","","","","","","",""
"","","","","","instructions","1","1934","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","[{""page_index"":0,""viewing_time"":1866}]","1867","","","","","","","","","","","",""
"","","","","","instructions","2","9517","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","[{""page_index"":0,""viewing_time"":7582}]","7582","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31060","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","21560","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","39421","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","8360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","42710","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","3291","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","43375","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","62177","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","[{""page_index"":0,""viewing_time"":18801}]","18801","","","","","","","","","","","",""
"","","","","","audio-button-response","8","66503","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","3949","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","71083","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","4309","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","75161","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","3811","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","79434","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","4011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","12","83577","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","3880","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","13","87797","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","3960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","14","89741","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","","1943","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","172585","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq050_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","g4tv15hhk4a","[{""page_index"":0,""viewing_time"":3842},{""page_index"":1,""viewing_time"":7989},{""page_index"":2,""viewing_time"":61636},{""page_index"":3,""viewing_time"":9376}]","82843","","","","","","","","","","","",""
