"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","141","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","","","","","","","","","","","","",""
"","","","","","instructions","1","2273","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","[{""page_index"":0,""viewing_time"":2129}]","2130","","","","","","","","","","","",""
"","","","","","instructions","2","6191","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","[{""page_index"":0,""viewing_time"":3917}]","3917","","","","","","","","","","","",""
"","","","","","audio-button-response","3","225433","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","218480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","237189","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","11080","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","258773","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","21589","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","267233","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","8461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","400311","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","[{""page_index"":0,""viewing_time"":133076}]","133077","","","","","","","","","","","",""
"","","","","","audio-button-response","8","406477","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","4760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","411851","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","4661","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","416943","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq026_len120_s10_isi-1p0_0p0_16p0.json","10.95","true","nuyvveohswg","","4579","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
