"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","613","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","","","","","","","","","","","","",""
"","","","","","instructions","1","6639","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","[{""page_index"":0,""viewing_time"":6024}]","6024","","","","","","","","","","","",""
"","","","","","instructions","2","17454","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","[{""page_index"":0,""viewing_time"":10815}]","10815","","","","","","","","","","","",""
"","","","","","audio-button-response","3","432522","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","397288","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","437386","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","4792","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","442639","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","5248","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","444084","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","1451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","482754","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","[{""page_index"":0,""viewing_time"":38670}]","38670","","","","","","","","","","","",""
"","","","","","audio-button-response","8","496847","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","7621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","506345","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq076_len120_s10_isi-1p0_0p0_16p0.json","10.98","true","plfbgcqbcpj","","5128","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
