"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","111","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","","","","","","","","","","","","",""
"","","","","","instructions","1","45695","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","[{""page_index"":0,""viewing_time"":45582}]","45583","","","","","","","","","","","",""
"","","","","","instructions","2","47447","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","[{""page_index"":0,""viewing_time"":1751}]","1752","","","","","","","","","","","",""
"","","","","","audio-button-response","3","53575","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","6040","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","60668","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","[{""page_index"":0,""viewing_time"":7092}]","7092","","","","","","","","","","","",""
"","","","","","audio-button-response","5","66004","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","71161","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","76543","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4709","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","81991","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","87415","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4749","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","92822","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","4648","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","11","94360","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","","1537","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","133265","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq010_len120_s10_isi-1p0_0p0_16p0.json","10.75","true","rhyodey83g0","[{""page_index"":0,""viewing_time"":6011},{""page_index"":1,""viewing_time"":8665},{""page_index"":2,""viewing_time"":15586},{""page_index"":3,""viewing_time"":8644}]","38905","","","","","","","","","","","",""
