"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","138","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","","","","","","","","","","","","",""
"","","","","","instructions","1","2000369","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","[{""page_index"":0,""viewing_time"":2000229}]","2000229","","","","","","","","","","","",""
"","","","","","instructions","2","2004910","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","[{""page_index"":0,""viewing_time"":4540}]","4540","","","","","","","","","","","",""
"","","","","","audio-button-response","3","2015300","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","10382","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","2021628","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","6330","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","2029651","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","[{""page_index"":0,""viewing_time"":8022}]","8022","","","","","","","","","","","",""
"","","","","","audio-button-response","6","2041795","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","11331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","2047739","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","5108","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","2053138","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","4580","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","2058240","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","4571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","2063648","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","4600","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","2068815","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","4600","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","2070681","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","","1865","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","2109918","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq006_len120_s10_isi-1p0_0p0_16p0.json","10.81","true","vdoknrnxocm","[{""page_index"":0,""viewing_time"":4277},{""page_index"":1,""viewing_time"":12474},{""page_index"":2,""viewing_time"":19898},{""page_index"":3,""viewing_time"":2588}]","39237","","","","","","","","","","","",""
