"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","94","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","","","","","","","","","","","","",""
"","","","","","instructions","1","7002","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","[{""page_index"":0,""viewing_time"":6908}]","6908","","","","","","","","","","","",""
"","","","","","instructions","2","12768","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","[{""page_index"":0,""viewing_time"":5765}]","5765","","","","","","","","","","","",""
"","","","","","audio-button-response","3","23563","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","10760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26648","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3091","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","30889","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","35208","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","[{""page_index"":0,""viewing_time"":4319}]","4319","","","","","","","","","","","",""
"","","","","","audio-button-response","7","40241","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","4440","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","44782","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","4109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","48854","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","53042","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","56865","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","61292","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","13","63566","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","2273","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","131252","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","[{""page_index"":0,""viewing_time"":5016},{""page_index"":1,""viewing_time"":36622},{""page_index"":2,""viewing_time"":20665},{""page_index"":3,""viewing_time"":5381}]","67684","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","131303","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","135645","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3480","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","135700","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","139603","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq080_len120_s10_isi-1p0_0p0_16p0.json","10.84","true","xh4w9vwgd2l","","3240","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
