"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","274","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","","","","","","","","","","","","",""
"","","","","","instructions","1","5479","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","[{""page_index"":0,""viewing_time"":5202}]","5203","","","","","","","","","","","",""
"","","","","","instructions","2","11385","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","[{""page_index"":0,""viewing_time"":5904}]","5904","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19660","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","8139","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","22411","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2752","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","26811","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4395","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","34943","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","8117","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","44225","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","[{""page_index"":0,""viewing_time"":9280}]","9281","","","","","","","","","","","",""
"","","","","","audio-button-response","8","55613","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5739","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","80236","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5856","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","87079","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5216","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","11","105165","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5995","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","126702","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5099","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","140845","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5387","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","14","142708","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","1861","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","187001","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","[{""page_index"":0,""viewing_time"":3338},{""page_index"":1,""viewing_time"":10487},{""page_index"":2,""viewing_time"":18737},{""page_index"":3,""viewing_time"":11729}]","44292","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","187053","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","197210","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3904","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","197262","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","215153","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3765","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","215205","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","21","218331","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3125","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","22","218384","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","23","224525","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4000","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","24","224578","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","25","228298","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3712","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","26","228350","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","27","238381","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3360","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","28","238434","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","29","256734","0.0-8.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3659","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1019_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","30","256787","0.0-8.0-0.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","31","261359","0.0-8.0-1.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4576","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","32","263471","0.0-9.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2109","<p>You are now ready to start the experiment. Press SPACE when you are ready to start.</p>"," ","","","","","","","","","",""
"","","","","","html-keyboard-response","33","263533","0.0-10.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","34","274912","0.0-10.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4672","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_28.wav","0","main","","","false","mem_stim_28.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","35","274990","0.0-10.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","36","285576","0.0-10.0-2.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3563","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_54.wav","0","main","","","false","mem_stim_54.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","37","285644","0.0-10.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","38","291328","0.0-10.0-2.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4843","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_79.wav","0","main","","","false","mem_stim_79.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","39","291396","0.0-10.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","40","297776","0.0-10.0-2.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5749","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_34.wav","2","main","","","false","mem_stim_34.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","41","297841","0.0-10.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","42","301344","0.0-10.0-2.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2709","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_46.wav","0","main","","","false","mem_stim_46.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","43","301415","0.0-10.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","44","306053","0.0-10.0-2.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2997","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_4.wav","0","main","","","false","mem_stim_4.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","45","306114","0.0-10.0-1.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","46","314121","0.0-10.0-2.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","7509","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_22.wav","0","main","","","false","mem_stim_22.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","47","314183","0.0-10.0-1.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","48","318498","0.0-10.0-2.7","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3637","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_37.wav","0","main","","","false","mem_stim_37.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","49","318566","0.0-10.0-1.8","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","50","324889","0.0-10.0-2.8","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","5941","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_53.wav","0","main","","","false","mem_stim_53.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","51","324955","0.0-10.0-1.9","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","52","328553","0.0-10.0-2.9","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2667","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_72.wav","0","main","","","false","mem_stim_72.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","53","328619","0.0-10.0-1.10","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","54","332938","0.0-10.0-2.10","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3712","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_20.wav","0","main","","","false","mem_stim_20.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","55","333007","0.0-10.0-1.11","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","56","335453","0.0-10.0-2.11","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","2443","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_20.wav","3","main","","","true","mem_stim_20.wav","true","0","","0","miss"
"","","","","","html-keyboard-response","57","335519","0.0-10.0-1.12","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","58","343034","0.0-10.0-2.12","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","4608","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_24.wav","0","main","","","false","mem_stim_24.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","59","343103","0.0-10.0-1.13","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","60","347717","0.0-10.0-2.13","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3552","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_40.wav","0","main","","","false","mem_stim_40.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","61","347782","0.0-10.0-1.14","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
"","","","","","audio-button-response","62","352298","0.0-10.0-2.14","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","3957","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/mem_stim_76.wav","2","main","","","false","mem_stim_76.wav","false","-1","","1","correct_rejection"
"","","","","","html-keyboard-response","63","352362","0.0-10.0-1.15","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/global-music-2025-n_80/sequences/isi_16/len120/seq035_len120_s10_isi-1p0_0p0_16p0.json","11.3","true","y3ss0upqthw","","null","<span style=""font-size: 40px"">+</span>","null","","","","","","","","","",""
