"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","60","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","","","","","","","","","","","","",""
"","","","","","instructions","1","2723","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","[{""page_index"":0,""viewing_time"":2663}]","2663","","","","","","","","","","","",""
"","","","","","instructions","2","647895","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","[{""page_index"":0,""viewing_time"":645173}]","645173","","","","","","","","","","","",""
"","","","","","audio-button-response","3","658310","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","10240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","662640","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","4325","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","669752","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","7109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","676405","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","6651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","741221","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","[{""page_index"":0,""viewing_time"":64816}]","64816","","","","","","","","","","","",""
"","","","","","audio-button-response","8","746795","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","4683","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","751757","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq001_len120_s15_isi-1p0_0p0_16p0.json","10.6","true","1tkttpweeqf","","4629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
