"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","74","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","","","","","","","","","","","","",""
"","","","","","instructions","1","5284","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","[{""page_index"":0,""viewing_time"":5207}]","5208","","","","","","","","","","","",""
"","","","","","instructions","2","73027","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","[{""page_index"":0,""viewing_time"":67742}]","67742","","","","","","","","","","","",""
"","","","","","audio-button-response","3","93505","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","19960","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","100983","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","6451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","105506","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","4520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","118935","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","[{""page_index"":0,""viewing_time"":13428}]","13429","","","","","","","","","","","",""
"","","","","","audio-button-response","7","124559","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","4880","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","129709","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","134874","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq041_len120_s15_isi-1p0_0p0_16p0.json","10.93","true","2ahtsw9jr2y","","4651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
