"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","119","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","","","","","","","","","","","","",""
"","","","","","instructions","1","19192","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","[{""page_index"":0,""viewing_time"":19072}]","19072","","","","","","","","","","","",""
"","","","","","instructions","2","22581","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","[{""page_index"":0,""viewing_time"":3389}]","3389","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27631","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","4992","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","30225","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","2592","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","34613","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","[{""page_index"":0,""viewing_time"":4388}]","4388","","","","","","","","","","","",""
"","","","","","audio-button-response","6","39648","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","4352","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","47498","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","7371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","52772","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","4597","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","57865","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq047_len120_s15_isi-1p0_0p0_16p0.json","11.16","true","9zzdzk6gov2","","4405","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
