"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","86","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","","","","","","","","","","","","",""
"","","","","","instructions","1","19737","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","[{""page_index"":0,""viewing_time"":19650}]","19651","","","","","","","","","","","",""
"","","","","","instructions","2","28887","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","[{""page_index"":0,""viewing_time"":9150}]","9150","","","","","","","","","","","",""
"","","","","","audio-button-response","3","49786","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","20827","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","52090","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","2304","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","53497","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","1403","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","64765","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","[{""page_index"":0,""viewing_time"":11268}]","11269","","","","","","","","","","","",""
"","","","","","audio-button-response","7","69624","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","4379","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","74434","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","79105","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq045_len120_s15_isi-1p0_0p0_16p0.json","11.33","true","a1541chhe9x","","4192","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
