"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","80","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","","","","","","","","","","","","",""
"","","","","","instructions","1","41698","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","[{""page_index"":0,""viewing_time"":41616}]","41617","","","","","","","","","","","",""
"","","","","","instructions","2","50360","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","[{""page_index"":0,""viewing_time"":8661}]","8662","","","","","","","","","","","",""
"","","","","","audio-button-response","3","66182","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","15581","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","70790","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","4611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","83395","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","[{""page_index"":0,""viewing_time"":12604}]","12604","","","","","","","","","","","",""
"","","","","","audio-button-response","6","88526","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","4859","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","93206","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","4491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","98229","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","4760","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","102654","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq014_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","c5e3kt3fmxe","","4229","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
