"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","54","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","","","","","","","","","","","","",""
"","","","","","instructions","1","2253","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","[{""page_index"":0,""viewing_time"":2198}]","2198","","","","","","","","","","","",""
"","","","","","instructions","2","9376","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","[{""page_index"":0,""viewing_time"":7123}]","7123","","","","","","","","","","","",""
"","","","","","audio-button-response","3","13084","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","3691","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","14516","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","[{""page_index"":0,""viewing_time"":1431}]","1431","","","","","","","","","","","",""
"","","","","","audio-button-response","5","19357","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4499","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","6","23741","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","28331","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4371","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","32820","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4261","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","37436","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","41609","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","3949","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","11","43500","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","1891","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","52012","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","[{""page_index"":0,""viewing_time"":1586},{""page_index"":1,""viewing_time"":1529},{""page_index"":2,""viewing_time"":4028},{""page_index"":3,""viewing_time"":1369}]","8512","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","52063","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","56431","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","4008","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","56482","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","59386","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","2608","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","59437","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","61804","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq060_len120_s15_isi-1p0_0p0_16p0.json","11.04","true","cjeejm84zxf","","2360","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
