"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","431","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","","","","","","","","","","","","",""
"","","","","","instructions","1","3095","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","[{""page_index"":0,""viewing_time"":2663}]","2664","","","","","","","","","","","",""
"","","","","","instructions","2","18930","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","[{""page_index"":0,""viewing_time"":15834}]","15834","","","","","","","","","","","",""
"","","","","","audio-button-response","3","36213","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","17241","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","45603","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","9390","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","50613","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","5010","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","52304","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","1692","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","105072","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","[{""page_index"":0,""viewing_time"":52768}]","52768","","","","","","","","","","","",""
"","","","","","audio-button-response","8","110232","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","4789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","117554","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","7070","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","122783","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","4870","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","128232","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","5071","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","2","hc","1","0","","","","","","",""
"","","","","","audio-button-response","12","132912","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","4319","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","13","137503","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","4328","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","14","139399","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","1896","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","15","206460","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","[{""page_index"":0,""viewing_time"":6082},{""page_index"":1,""viewing_time"":15510},{""page_index"":2,""viewing_time"":40226},{""page_index"":3,""viewing_time"":5242}]","67060","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","206513","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","211603","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","4670","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","211664","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","214884","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","2871","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","20","214945","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq074_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","coh98sab87g","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
