"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","179","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","","","","","","","","","","","","",""
"","","","","","instructions","1","4395","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","[{""page_index"":0,""viewing_time"":4214}]","4214","","","","","","","","","","","",""
"","","","","","instructions","2","14958","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","[{""page_index"":0,""viewing_time"":10560}]","10562","","","","","","","","","","","",""
"","","","","","audio-button-response","3","31233","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","16120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","33948","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","2709","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","42497","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","[{""page_index"":0,""viewing_time"":8546}]","8547","","","","","","","","","","","",""
"","","","","","audio-button-response","6","50057","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","6581","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","55786","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","4800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","61046","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","4109","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","65972","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","70774","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","75421","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","3981","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","77320","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","","1895","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","124870","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq053_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","dwvxr024vx7","[{""page_index"":0,""viewing_time"":3783},{""page_index"":1,""viewing_time"":12224},{""page_index"":2,""viewing_time"":26793},{""page_index"":3,""viewing_time"":4749}]","47550","","","","","","","","","","","",""
