"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","163","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","","","","","","","","","","","","",""
"","","","","","instructions","1","2136","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","[{""page_index"":0,""viewing_time"":1972}]","1972","","","","","","","","","","","",""
"","","","","","instructions","2","96973","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","[{""page_index"":0,""viewing_time"":94837}]","94837","","","","","","","","","","","",""
"","","","","","audio-button-response","3","101858","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4832","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","106661","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","[{""page_index"":0,""viewing_time"":4802}]","4803","","","","","","","","","","","",""
"","","","","","audio-button-response","5","112089","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4080","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","117393","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","123131","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","128106","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4408","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","133286","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq075_len120_s15_isi-1p0_0p0_16p0.json","10.69","true","etqzeav4lul","","4301","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
