"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","547","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","","","","","","","","","","","","",""
"","","","","","instructions","1","56420","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","[{""page_index"":0,""viewing_time"":55870}]","55870","","","","","","","","","","","",""
"","","","","","instructions","2","73513","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","[{""page_index"":0,""viewing_time"":17092}]","17092","","","","","","","","","","","",""
"","","","","","audio-button-response","3","131140","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","57344","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","135500","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","4277","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","150437","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","14933","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","158599","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","8160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","183747","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","25152","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","8","188160","0.0-3.5-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","","4416","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","9","214548","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq021_len120_s15_isi-1p0_0p0_16p0.json","11.07","true","f5x1qnf0xyl","[{""page_index"":0,""viewing_time"":26386}]","26387","","","","","","","","","","","",""
