"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","150","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","","","","","","","","","","","","",""
"","","","","","instructions","1","2917","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","[{""page_index"":0,""viewing_time"":2765}]","2765","","","","","","","","","","","",""
"","","","","","instructions","2","8924","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","[{""page_index"":0,""viewing_time"":6004}]","6005","","","","","","","","","","","",""
"","","","","","audio-button-response","3","103444","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","94240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","106475","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","2773","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","143610","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","37141","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","198620","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","54987","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","239714","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","[{""page_index"":0,""viewing_time"":41093}]","41093","","","","","","","","","","","",""
"","","","","","audio-button-response","8","245970","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","5195","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","251282","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq072_len120_s15_isi-1p0_0p0_16p0.json","11.25","true","g4kvhw20k6g","","4384","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
