"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","106","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","","","","","","","","","","","","",""
"","","","","","instructions","1","13364","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","[{""page_index"":0,""viewing_time"":13258}]","13258","","","","","","","","","","","",""
"","","","","","instructions","2","27348","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","[{""page_index"":0,""viewing_time"":13984}]","13984","","","","","","","","","","","",""
"","","","","","audio-button-response","3","41476","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","14112","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","44500","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","53076","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","8580","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","56508","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3431","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","7","61180","0.0-3.4-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4670","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","8","69852","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","[{""page_index"":0,""viewing_time"":8672}]","8672","","","","","","","","","","","",""
"","","","","","audio-button-response","9","76540","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","6049","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","82092","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4899","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","88508","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","5660","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","12","93804","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4670","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","13","98948","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4690","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","14","104524","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4952","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","15","107572","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3048","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","16","173131","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","[{""page_index"":0,""viewing_time"":11791},{""page_index"":1,""viewing_time"":10656},{""page_index"":2,""viewing_time"":37432},{""page_index"":3,""viewing_time"":5680}]","65559","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","173183","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","180059","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","6159","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","19","180111","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","184244","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3442","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","184306","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","187316","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3010","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","23","187379","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","24","192955","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","4798","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","25","193009","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","26","196116","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","3109","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","27","196178","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq031_len120_s15_isi-1p0_0p0_16p0.json","10.81","true","gaebsuh9sx0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
