"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","140","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","","","","","","","","","","","","",""
"","","","","","instructions","1","8238","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","[{""page_index"":0,""viewing_time"":8097}]","8097","","","","","","","","","","","",""
"","","","","","instructions","2","17181","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","[{""page_index"":0,""viewing_time"":8943}]","8943","","","","","","","","","","","",""
"","","","","","audio-button-response","3","27942","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","10491","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","31398","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","3461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","35549","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","4149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","46494","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","10939","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","52222","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","[{""page_index"":0,""viewing_time"":5727}]","5727","","","","","","","","","","","",""
"","","","","","audio-button-response","8","58054","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","4920","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","63686","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","4779","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","68822","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","4299","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","73655","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq025_len120_s15_isi-1p0_0p0_16p0.json","10.629999999999999","true","gcpal9w7fkg","","4288","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
