"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","590","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","","","","","","","","","","","","",""
"","","","","","instructions","1","5848","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","[{""page_index"":0,""viewing_time"":5257}]","5257","","","","","","","","","","","",""
"","","","","","instructions","2","19651","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","[{""page_index"":0,""viewing_time"":13800}]","13800","","","","","","","","","","","",""
"","","","","","audio-button-response","3","62708","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","42971","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","71440","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","8731","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","78055","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","6619","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","101562","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","[{""page_index"":0,""viewing_time"":23505}]","23505","","","","","","","","","","","",""
"","","","","","audio-button-response","7","108112","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","5800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","113362","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","4581","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","118359","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq049_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hhfmxso8r2j","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
