"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","203","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","","","","","","","","","","","","",""
"","","","","","instructions","1","5799","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","[{""page_index"":0,""viewing_time"":5595}]","5596","","","","","","","","","","","",""
"","","","","","instructions","2","579847","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","[{""page_index"":0,""viewing_time"":574047}]","574047","","","","","","","","","","","",""
"","","","","","audio-button-response","3","596333","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","16288","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","598859","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","2517","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","608062","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","[{""page_index"":0,""viewing_time"":9201}]","9202","","","","","","","","","","","",""
"","","","","","audio-button-response","6","613343","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4768","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","618506","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4448","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","623314","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4437","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","628072","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4384","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","632733","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4256","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","637508","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","4395","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","638800","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq019_len120_s15_isi-1p0_0p0_16p0.json","10.98","true","hsj1cjod8h4","","1291","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
