"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","682","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","","","","","","","","","","","","",""
"","","","","","instructions","1","2823","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","[{""page_index"":0,""viewing_time"":2140}]","2141","","","","","","","","","","","",""
"","","","","","instructions","2","6875","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","[{""page_index"":0,""viewing_time"":4050}]","4051","","","","","","","","","","","",""
"","","","","","audio-button-response","3","20118","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","13120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","25718","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","5600","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","35721","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","[{""page_index"":0,""viewing_time"":10001}]","10001","","","","","","","","","","","",""
"","","","","","audio-button-response","6","41145","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","4843","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","46222","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","4501","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","51020","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","4395","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","56167","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq030_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","j45gs3xezbe","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
