"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","214","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","","","","","","","","","","","","",""
"","","","","","instructions","1","3411","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","[{""page_index"":0,""viewing_time"":3192}]","3193","","","","","","","","","","","",""
"","","","","","instructions","2","5468","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","[{""page_index"":0,""viewing_time"":2056}]","2056","","","","","","","","","","","",""
"","","","","","audio-button-response","3","12059","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","6473","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","16342","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","[{""page_index"":0,""viewing_time"":4282}]","4282","","","","","","","","","","","",""
"","","","","","audio-button-response","5","21626","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4508","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","26793","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4386","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","31994","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4429","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","36895","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4368","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","41745","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4296","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","47728","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq044_len120_s15_isi-1p0_0p0_16p0.json","11.28","true","mem724zjgtr","","4435","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
