"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","66","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","","","","","","","","","","","","",""
"","","","","","instructions","1","2262","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","[{""page_index"":0,""viewing_time"":2194}]","2194","","","","","","","","","","","",""
"","","","","","instructions","2","6829","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","[{""page_index"":0,""viewing_time"":4566}]","4566","","","","","","","","","","","",""
"","","","","","audio-button-response","3","10815","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","3931","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","12326","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","[{""page_index"":0,""viewing_time"":1509}]","1510","","","","","","","","","","","",""
"","","","","","audio-button-response","5","16998","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","4621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","6","24046","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","7008","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","28350","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","4272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","32710","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","36973","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq026_len120_s15_isi-1p0_0p0_16p0.json","11.129999999999999","true","rvf0h6svaoc","","4219","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
