"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","113","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","","","","","","","","","","","","",""
"","","","","","instructions","1","1292","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","[{""page_index"":0,""viewing_time"":1178}]","1178","","","","","","","","","","","",""
"","","","","","instructions","2","1941","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","[{""page_index"":0,""viewing_time"":649}]","649","","","","","","","","","","","",""
"","","","","","audio-button-response","3","2942","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","888","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","4708","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","[{""page_index"":0,""viewing_time"":1765}]","1765","","","","","","","","","","","",""
"","","","","","audio-button-response","5","9342","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","4162","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","6","12543","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","2316","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","16610","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","3825","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","20978","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","4075","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","25413","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","3965","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","29532","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","3646","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","30619","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","1086","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","56688","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","[{""page_index"":0,""viewing_time"":4463},{""page_index"":1,""viewing_time"":3467},{""page_index"":2,""viewing_time"":14704},{""page_index"":3,""viewing_time"":3435}]","26069","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","56739","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq005_len120_tol0_s15_isi-1p0_0p0_16p0.json","11.07","true","v74lwwgdkeg","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
