"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","99","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","","","","","","","","","","","","",""
"","","","","","instructions","1","139505","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","[{""page_index"":0,""viewing_time"":139403}]","139404","","","","","","","","","","","",""
"","","","","","instructions","2","145430","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","[{""page_index"":0,""viewing_time"":5922}]","5923","","","","","","","","","","","",""
"","","","","","audio-button-response","3","170413","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","24189","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","250926","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","80219","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","263703","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","[{""page_index"":0,""viewing_time"":12776}]","12776","","","","","","","","","","","",""
"","","","","","audio-button-response","6","270836","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","5669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","277632","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","6510","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","282688","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","4809","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","288512","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","5669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","293663","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","4888","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","298756","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","4928","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","12","307755","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","8996","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","514592","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","[{""page_index"":0,""viewing_time"":180902},{""page_index"":1,""viewing_time"":6986},{""page_index"":2,""viewing_time"":15149},{""page_index"":3,""viewing_time"":3800}]","206838","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","514644","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","520911","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","5030","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","1","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","520963","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_ind-nature_2025/sequences/isi_16/len120/seq034_len120_s15_isi-1p0_0p0_16p0.json","11.01","true","vznoqt999dr","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
