"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","147","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","","","","","","","","","","","","",""
"","","","","","instructions","1","1443","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","[{""page_index"":0,""viewing_time"":1293}]","1294","","","","","","","","","","","",""
"","","","","","instructions","2","3037","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","[{""page_index"":0,""viewing_time"":1593}]","1594","","","","","","","","","","","",""
"","","","","","audio-button-response","3","19282","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","16021","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","22070","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","2789","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","25220","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","3149","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","31936","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","[{""page_index"":0,""viewing_time"":6714}]","6715","","","","","","","","","","","",""
"","","","","","audio-button-response","7","37600","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","4869","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","42891","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","4552","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","47779","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq025_len120_s70_isi-1p0_0p0_16p0.json","10.55","true","0ukgb24qypc","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
