"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","92","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","","","","","","","","","","","","",""
"","","","","","instructions","1","3350","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","[{""page_index"":0,""viewing_time"":3256}]","3256","","","","","","","","","","","",""
"","","","","","instructions","2","11918","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","[{""page_index"":0,""viewing_time"":8568}]","8568","","","","","","","","","","","",""
"","","","","","audio-button-response","3","25854","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","13915","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","35272","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","[{""page_index"":0,""viewing_time"":9417}]","9418","","","","","","","","","","","",""
"","","","","","audio-button-response","5","40907","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","5103","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","45658","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","4214","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","7","51076","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","4389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","56027","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","4122","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","61261","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq093_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","3wahfwcnfad","","4203","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
