"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","182","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","","","","","","","","","","","","",""
"","","","","","instructions","1","1310","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","[{""page_index"":0,""viewing_time"":1125}]","1127","","","","","","","","","","","",""
"","","","","","instructions","2","2622","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","[{""page_index"":0,""viewing_time"":1309}]","1311","","","","","","","","","","","",""
"","","","","","audio-button-response","3","7173","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","4160","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","16354","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","9173","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","19466","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","[{""page_index"":0,""viewing_time"":3109}]","3110","","","","","","","","","","","",""
"","","","","","audio-button-response","6","26268","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","6059","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","7","31814","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","4843","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","37083","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","4523","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","41749","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq020_len120_s70_isi-1p0_0p0_16p0.json","11.07","true","56xt5b2wbfs","","4192","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
