"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","28","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","","","","","","","","","","","","",""
"","","","","","instructions","1","3105","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","[{""page_index"":0,""viewing_time"":3074}]","3075","","","","","","","","","","","",""
"","","","","","instructions","2","4377","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","[{""page_index"":0,""viewing_time"":1271}]","1272","","","","","","","","","","","",""
"","","","","","audio-button-response","3","6694","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","2280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","15064","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","8360","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","22464","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","[{""page_index"":0,""viewing_time"":7399}]","7400","","","","","","","","","","","",""
"","","","","","audio-button-response","6","28623","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","6120","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","33666","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","5011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","38738","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","5029","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","43393","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","4621","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","47754","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","4331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","54921","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","4629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","57694","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","2771","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","177921","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","[{""page_index"":0,""viewing_time"":9389},{""page_index"":1,""viewing_time"":28159},{""page_index"":2,""viewing_time"":66146},{""page_index"":3,""viewing_time"":16530}]","120225","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","177972","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","187548","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","7141","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","187600","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","196516","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","5421","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","18","196568","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","19","200211","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","3640","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","20","200270","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq008_len120_s70_isi-1p0_0p0_16p0.json","10.81","true","79lvz2myg6a","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
