"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","379","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","","","","","","","","","","","","",""
"","","","","","instructions","1","34744","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","[{""page_index"":0,""viewing_time"":34360}]","34361","","","","","","","","","","","",""
"","","","","","instructions","2","41480","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","[{""page_index"":0,""viewing_time"":6735}]","6735","","","","","","","","","","","",""
"","","","","","audio-button-response","3","62422","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","20461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","74952","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","12531","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","88672","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","13720","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","6","91608","0.0-3.3-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","2928","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","7","105631","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","[{""page_index"":0,""viewing_time"":14022}]","14023","","","","","","","","","","","",""
"","","","","","audio-button-response","8","114223","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","5469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","122568","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","5389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","130743","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq073_len120_s70_isi-1p0_0p0_16p0.json","10.49","true","c89hc1561te","","5211","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
