"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","390","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","","","","","","","","","","","","",""
"","","","","","instructions","1","3147","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","[{""page_index"":0,""viewing_time"":2756}]","2756","","","","","","","","","","","",""
"","","","","","instructions","2","14834","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","[{""page_index"":0,""viewing_time"":11686}]","11687","","","","","","","","","","","",""
"","","","","","audio-button-response","3","49027","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","34171","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","53474","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4451","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","56306","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","2829","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","76507","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","[{""page_index"":0,""viewing_time"":20199}]","20199","","","","","","","","","","","",""
"","","","","","audio-button-response","7","84410","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4859","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","92866","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4280","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","100579","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4589","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","108962","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","11","116850","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4400","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","12","124418","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4269","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","html-keyboard-response","13","128658","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","4239","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","14","193610","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","[{""page_index"":0,""viewing_time"":8111},{""page_index"":1,""viewing_time"":14744},{""page_index"":2,""viewing_time"":35344},{""page_index"":3,""viewing_time"":6752}]","64951","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","193662","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","202650","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","5579","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","202707","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","208650","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","2600","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","19","208717","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","211530","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","2808","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","21","211587","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","220514","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","5541","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","2","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","23","220569","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","24","223010","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","2440","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","3","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","25","223077","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","26","229610","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","3469","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","27","229677","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq057_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","cwnfsp6v1vb","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
