"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","87","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","","","","","","","","","","","","",""
"","","","","","instructions","1","3188","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","[{""page_index"":0,""viewing_time"":3100}]","3101","","","","","","","","","","","",""
"","","","","","instructions","2","19554","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","[{""page_index"":0,""viewing_time"":16365}]","16365","","","","","","","","","","","",""
"","","","","","audio-button-response","3","56321","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","36651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","60203","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","3840","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","5","82354","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","[{""page_index"":0,""viewing_time"":22150}]","22150","","","","","","","","","","","",""
"","","","","","audio-button-response","6","88337","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","5536","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","7","93953","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","4651","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","0","hc","2","0","","","","","","",""
"","","","","","audio-button-response","8","98754","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","103527","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","4469","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","108270","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","4432","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","11","113598","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","5019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","12","116534","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","2936","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","13","216085","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","[{""page_index"":0,""viewing_time"":8144},{""page_index"":1,""viewing_time"":29900},{""page_index"":2,""viewing_time"":54219},{""page_index"":3,""viewing_time"":7301}]","99564","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","216137","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","15","223484","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","6800","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","16","223537","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","17","235968","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq015_len120_s70_isi-1p0_0p0_16p0.json","11.19","true","f0rnvu7h07x","","11920","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","1","demo","","","0","","","","","",""
