"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","159","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","","","","","","","","","","","","",""
"","","","","","instructions","1","2885","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","[{""page_index"":0,""viewing_time"":2725}]","2726","","","","","","","","","","","",""
"","","","","","instructions","2","10709","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","[{""page_index"":0,""viewing_time"":7823}]","7823","","","","","","","","","","","",""
"","","","","","audio-button-response","3","25245","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","14520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","35605","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","[{""page_index"":0,""viewing_time"":10358}]","10359","","","","","","","","","","","",""
"","","","","","audio-button-response","5","40917","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","4331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","45757","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","4240","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","50724","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","4368","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","55661","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","4320","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","60717","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq034_len120_s70_isi-1p0_0p0_16p0.json","11.33","true","gd6402xxbf9","","4440","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
