"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","91","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","","","","","","","","","","","","",""
"","","","","","instructions","1","1434278","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","[{""page_index"":0,""viewing_time"":1434186}]","1434186","","","","","","","","","","","",""
"","","","","","instructions","2","1441301","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","[{""page_index"":0,""viewing_time"":7022}]","7022","","","","","","","","","","","",""
"","","","","","audio-button-response","3","1478840","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","37520","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","1522691","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","[{""page_index"":0,""viewing_time"":43851}]","43851","","","","","","","","","","","",""
"","","","","","audio-button-response","5","1527505","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","4341","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","1531743","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","3909","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","1535889","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","3829","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","1539667","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","3461","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","1543546","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","3549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","10","1547679","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","3800","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","html-keyboard-response","11","1549123","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","1444","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","1590425","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","[{""page_index"":0,""viewing_time"":5076},{""page_index"":1,""viewing_time"":14378},{""page_index"":2,""viewing_time"":16096},{""page_index"":3,""viewing_time"":5752}]","41302","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","1590476","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","1597016","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","4411","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","15","1597075","0.0-8.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","16","1602476","0.0-8.0-1.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","4480","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","17","1602529","0.0-8.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","18","1605191","0.0-8.0-1.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","2661","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1022_f32.wav","2","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","19","1605249","0.0-8.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","20","1608954","0.0-8.0-1.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","2899","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1021_f32.wav","3","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","21","1609009","0.0-8.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","22","1611302","0.0-8.0-1.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","2301","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","1","demo","","","1","","","","","",""
"","","","","","html-keyboard-response","23","1611359","0.0-8.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","24","1614983","0.0-8.0-1.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","2632","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1020_f32.wav","0","demo","","","0","","","","","",""
"","","","","","html-keyboard-response","25","1615036","0.0-8.0-0.6","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq089_len120_s70_isi-1p0_0p0_16p0.json","10.6","true","gzkwrxe7dw0","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
