"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","67","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","","","","","","","","","","","","",""
"","","","","","instructions","1","12451","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","[{""page_index"":0,""viewing_time"":12382}]","12383","","","","","","","","","","","",""
"","","","","","instructions","2","20630","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","[{""page_index"":0,""viewing_time"":8179}]","8179","","","","","","","","","","","",""
"","","","","","audio-button-response","3","32192","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","11480","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","38463","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","6272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","45623","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","7152","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","60165","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","[{""page_index"":0,""viewing_time"":14540}]","14541","","","","","","","","","","","",""
"","","","","","audio-button-response","7","69609","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","8989","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","74514","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","4549","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","79469","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq040_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","pbbm62j3kbt","","4699","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
