"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","122","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","","","","","","","","","","","","",""
"","","","","","instructions","1","7811","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","[{""page_index"":0,""viewing_time"":7688}]","7689","","","","","","","","","","","",""
"","","","","","instructions","2","25803","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","[{""page_index"":0,""viewing_time"":17991}]","17991","","","","","","","","","","","",""
"","","","","","audio-button-response","3","40588","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","14672","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","42572","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","1979","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","43213","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","58924","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","[{""page_index"":0,""viewing_time"":15710}]","15711","","","","","","","","","","","",""
"","","","","","audio-button-response","7","64252","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","4571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","69213","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","4411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","75068","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq061_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","q1n2reqzmnx","","4272","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
