"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","","","","","","","","","","","","",""
"","","","","","instructions","1","1572","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","[{""page_index"":0,""viewing_time"":1443}]","1444","","","","","","","","","","","",""
"","","","","","instructions","2","4607","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","[{""page_index"":0,""viewing_time"":3035}]","3035","","","","","","","","","","","",""
"","","","","","audio-button-response","3","8561","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","2640","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","12473","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","[{""page_index"":0,""viewing_time"":3911}]","3911","","","","","","","","","","","",""
"","","","","","audio-button-response","5","17909","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","4712","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","6","23213","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","4851","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","28746","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","4912","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","34405","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","5019","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","39867","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq039_len120_s70_isi-1p0_0p0_16p0.json","10.25","true","qvltwxm7zcp","","4821","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
