"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","128","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","","","","","","","","","","","","",""
"","","","","","instructions","1","2689","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","[{""page_index"":0,""viewing_time"":2560}]","2560","","","","","","","","","","","",""
"","","","","","instructions","2","8648","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","[{""page_index"":0,""viewing_time"":5958}]","5959","","","","","","","","","","","",""
"","","","","","audio-button-response","3","21202","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","12101","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","26768","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","5571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","35079","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","8309","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","49402","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","[{""page_index"":0,""viewing_time"":14321}]","14321","","","","","","","","","","","",""
"","","","","","audio-button-response","7","54798","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","4629","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","8","59704","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","4349","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","9","64593","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq088_len120_s70_isi-1p0_0p0_16p0.json","11.01","true","r87w4ak1vz1","","4331","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
