"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","161","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","","","","","","","","","","","","",""
"","","","","","instructions","1","62541","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","[{""page_index"":0,""viewing_time"":62379}]","62379","","","","","","","","","","","",""
"","","","","","instructions","2","67752","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","[{""page_index"":0,""viewing_time"":5211}]","5211","","","","","","","","","","","",""
"","","","","","audio-button-response","3","83981","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","16152","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","4","87710","0.0-3.1-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","3720","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","0","","","","","","","","","",""
"","","","","","audio-button-response","5","89279","0.0-3.2-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","1571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","6","100583","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","[{""page_index"":0,""viewing_time"":11304}]","11304","","","","","","","","","","","",""
"","","","","","audio-button-response","7","108928","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","7389","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","8","114500","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","4571","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","9","119476","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","4011","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","10","124535","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq013_len120_s70_isi-1p0_0p0_16p0.json","10.66","true","rvd6jxt766w","","4411","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
