"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","sequence_file","pay","passed_hc","completion_code","view_history","rt","stimulus","response","stim_type","hc_answer","correct_hc","repeat","yt_id","catch","isi","type","is_correct","response_type"
"true","false","[]","[]","[]","preload","0","120","0.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","","","","","","","","","","","","",""
"","","","","","instructions","1","32692","0.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","[{""page_index"":0,""viewing_time"":32572}]","32572","","","","","","","","","","","",""
"","","","","","instructions","2","33980","0.0-2.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","[{""page_index"":0,""viewing_time"":1287}]","1287","","","","","","","","","","","",""
"","","","","","audio-button-response","3","38452","0.0-3.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4301","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/noise_calib_stim.wav","1","","","","","","","","","",""
"","","","","","instructions","4","43539","0.0-4.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","[{""page_index"":0,""viewing_time"":5086}]","5086","","","","","","","","","","","",""
"","","","","","audio-button-response","5","49548","0.0-5.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4891","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_ISO.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","6","55044","0.0-5.0-0.1","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4680","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SIO.wav","0","hc","1","1","","","","","","",""
"","","","","","audio-button-response","7","60363","0.0-5.0-0.2","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4669","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OSI.wav","1","hc","2","1","","","","","","",""
"","","","","","audio-button-response","8","64959","0.0-5.0-0.3","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","3779","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_OIS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","9","70152","0.0-5.0-0.4","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4659","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_IOS.wav","2","hc","3","1","","","","","","",""
"","","","","","audio-button-response","10","75463","0.0-5.0-0.5","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4611","https://mcdermottlab.mit.edu/bjmedina/experiments/mem_exp_v01/assets/antiphase_HC_SOI.wav","0","hc","1","1","","","","","","",""
"","","","","","html-keyboard-response","11","76972","0.0-6.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","1507","<h1>You have finished the LOUDNESS task!</h1> <p>Press space to continue</p>"," ","","","","","","","","","",""
"","","","","","instructions","12","110899","0.0-7.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","[{""page_index"":0,""viewing_time"":2727},{""page_index"":1,""viewing_time"":8074},{""page_index"":2,""viewing_time"":21373},{""page_index"":3,""viewing_time"":1752}]","33926","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","110950","0.0-8.0-0.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","null","<span style=""font-size: 40px"">+</span>","null","fixation","","","","","","","","",""
"","","","","","audio-button-response","14","116675","0.0-8.0-1.0","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/nhs-region-n_80/sequences/isi_16/len120/seq058_len120_s70_isi-1p0_0p0_16p0.json","11.3","true","vwtdlf609t5","","4632","https://mcdermottlab.mit.edu/mturk_stimuli/bjmedina/mem_exp_v05/mem_stim_1023_f32.wav","0","demo","","","0","","","","","",""
